Group_ID,Team_ID,Tournament_ID,Tournament,Group,GSRound,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
0,ARG,URU-30,Uruguay 1930,1,1,1,Argentina,3,3,0,0,10,4,6,6,Advanced,
1,CHI,URU-30,Uruguay 1930,1,1,2,Chile,3,2,0,1,5,3,2,4,Eliminated,
2,FRA,URU-30,Uruguay 1930,1,1,3,France,3,1,0,2,4,3,1,2,Eliminated,
3,MEX,URU-30,Uruguay 1930,1,1,4,Mexico,3,0,0,3,4,13,-9,0,Eliminated,
4,YUG,URU-30,Uruguay 1930,2,1,1,Yugoslavia,2,2,0,0,6,1,5,4,Advanced,
5,BRA,URU-30,Uruguay 1930,2,1,2,Brazil,2,1,0,1,5,2,3,2,Eliminated,
6,BOL,URU-30,Uruguay 1930,2,1,3,Bolivia,2,0,0,2,0,8,-8,0,Eliminated,
7,URU,URU-30,Uruguay 1930,3,1,1,Uruguay,2,2,0,0,5,0,5,4,Advanced,
8,ROM,URU-30,Uruguay 1930,3,1,2,Romania,2,1,0,1,3,5,-2,2,Eliminated,
9,PER,URU-30,Uruguay 1930,3,1,3,Peru,2,0,0,2,1,4,-3,0,Eliminated,
10,USA,URU-30,Uruguay 1930,4,1,1,United States,2,2,0,0,6,0,6,4,Advanced,
11,PAR,URU-30,Uruguay 1930,4,1,2,Paraguay,2,1,0,1,1,3,-2,2,Eliminated,
12,BEL,URU-30,Uruguay 1930,4,1,3,Belgium,2,0,0,2,0,4,-4,0,Eliminated,
13,BRA,BRA-50,Brazil 1950,1,1,1,Brazil,3,2,1,0,8,2,6,5,Advanced,
14,YUG,BRA-50,Brazil 1950,1,1,2,Yugoslavia,3,2,0,1,7,3,4,4,Eliminated,
15,SWI,BRA-50,Brazil 1950,1,1,3,Switzerland,3,1,1,1,4,6,-2,3,Eliminated,
16,MEX,BRA-50,Brazil 1950,1,1,4,Mexico,3,0,0,3,2,10,-8,0,Eliminated,
17,SPA,BRA-50,Brazil 1950,2,1,1,Spain,3,3,0,0,6,1,5,6,Advanced,
18,ENG,BRA-50,Brazil 1950,2,1,2,England,3,1,0,2,2,2,0,2,Eliminated,
19,CHI,BRA-50,Brazil 1950,2,1,2,Chile,3,1,0,2,5,6,-1,2,Eliminated,
20,USA,BRA-50,Brazil 1950,2,1,2,United States,3,1,0,2,4,8,-4,2,Eliminated,
21,SWE,BRA-50,Brazil 1950,3,1,1,Sweden,2,1,1,0,5,4,1,3,Advanced,
22,ITA,BRA-50,Brazil 1950,3,1,2,Italy,2,1,0,1,4,3,1,2,Eliminated,
23,PAR,BRA-50,Brazil 1950,3,1,3,Paraguay,2,0,1,1,2,4,-2,1,Eliminated,
24,URU,BRA-50,Brazil 1950,4,1,1,Uruguay,1,1,0,0,8,0,8,2,Advanced,
25,BOL,BRA-50,Brazil 1950,4,1,2,Bolivia,1,0,0,1,0,8,-8,0,Eliminated,
26,URU,BRA-50,Brazil 1950,Final,2,1,Uruguay,3,2,1,0,7,5,2,5,Champions,
27,BRA,BRA-50,Brazil 1950,Final,2,2,Brazil,3,2,0,1,14,4,10,4,Eliminated,
28,SWE,BRA-50,Brazil 1950,Final,2,3,Sweden,3,1,0,2,6,11,-5,2,Eliminated,
29,SPA,BRA-50,Brazil 1950,Final,2,4,Spain,3,0,1,2,4,11,-7,1,Eliminated,
30,BRA,SWI-54,Switzerland 1954,1,1,1,Brazil,2,1,1,0,6,1,5,3,Advanced,
