Match_ID,Tournament_ID,HomeTeam_ID,AwayTeam_ID,Winner_ID,Tournament,Stage,Group,HomeTeam,AwayTeam,Score,HomeScore,AwayScore,ExtraTime,GoldenGoal,Penalties,HomePKs,AwayPKs,Winner,Referee,Venue,City,Attendance,Date,Time
0,URU-30,FRA,MEX,FRA,Uruguay 1930,Group Stage,1,France,Mexico,4-1,4,1,False,False,False,,,France,Domingo Lombardi,Estadio Pocitos,Montevideo,4444,1930-07-13,15:00
1,URU-30,ARG,FRA,ARG,Uruguay 1930,Group Stage,1,Argentina,France,1-0,1,0,False,False,False,,,Argentina,Almeida Rêgo,Estadio Parque Central,Montevideo,23409,1930-07-15,16:00
2,URU-30,CHI,MEX,CHI,Uruguay 1930,Group Stage,1,Chile,Mexico,3-0,3,0,False,False,False,,,Chile,Henri Christophe,Estadio Parque Central,Montevideo,9249,1930-07-16,14:45
3,URU-30,CHI,FRA,CHI,Uruguay 1930,Group Stage,1,Chile,France,1-0,1,0,False,False,False,,,Chile,Anibal Tejada,Estadio Centenario,Montevideo,2000,1930-07-19,12:50
4,URU-30,ARG,MEX,ARG,Uruguay 1930,Group Stage,1,Argentina,Mexico,6-3,6,3,False,False,False,,,Argentina,Ulises Saucedo,Estadio Centenario,Montevideo,42100,1930-07-19,15:00
5,URU-30,ARG,CHI,ARG,Uruguay 1930,Group Stage,1,Argentina,Chile,3-1,3,1,False,False,False,,,Argentina,John Langenus,Estadio Centenario,Montevideo,41459,1930-07-22,14:45
6,URU-30,YUG,BRA,YUG,Uruguay 1930,Group Stage,2,Yugoslavia,Brazil,2-1,2,1,False,False,False,,,Yugoslavia,Aníbal Tejada,Estadio Parque Central,Montevideo,24059,1930-07-14,12:45
7,URU-30,YUG,BOL,YUG,Uruguay 1930,Group Stage,2,Yugoslavia,Bolivia,4-0,4,0,False,False,False,,,Yugoslavia,Francisco Mateucci,Estadio Parque Central,Montevideo,18306,1930-07-17,12:45
8,URU-30,BRA,BOL,BRA,Uruguay 1930,Group Stage,2,Brazil,Bolivia,4-0,4,0,False,False,False,,,Brazil,Thomas Balvay,Estadio Centenario,Montevideo,25466,1930-07-20,13:00
9,URU-30,ROM,PER,ROM,Uruguay 1930,Group Stage,3,Romania,Peru,3-1,3,1,False,False,False,,,Romania,Alberto Warnken,Estadio Pocitos,Montevideo,2549,1930-07-14,14:50
10,URU-30,URU,PER,URU,Uruguay 1930,Group Stage,3,Uruguay,Peru,1-0,1,0,False,False,False,,,Uruguay,John Langenus,Estadio Centenario,Montevideo,57735,1930-07-18,14:30
11,URU-30,URU,ROM,URU,Uruguay 1930,Group Stage,3,Uruguay,Romania,4-0,4,0,False,False,False,,,Uruguay,Almeida Rêgo,Estadio Centenario,Montevideo,70022,1930-07-21,14:50
