Player,Country,Date of Birth,Player_ID
Nadir Belhadj,Algeria,1982-06-18,ALG-BELHNADI-19820618
Mustapha Kouici,Algeria,1954-04-16,ALG-KOUIMUST-19540416
Noureddine Kourichi,Algeria,1954-04-12,ALG-KOURNOUR-19540412
Chaabane Merzekane,Algeria,1959-03-08,ALG-MERZCHAA-19590308
Ali Bencheikh,Algeria,1955-01-09,ALG-BENCALI-19550109
Salah Assad,Algeria,1958-03-13,ALG-ASSASALA-19580313
Ali Fergani,Algeria,1952-09-21,ALG-FERGALI-19520921
Tedj Bensaoula,Algeria,1954-12-01,ALG-BENSTEDJ-19541201
Lakhdar Belloumi,Algeria,1958-12-29,ALG-BELLLAKH-19581229
Rabah Madjer,Algeria,1958-12-15,ALG-MADJRABA-19581215
Cedric Si Mohamed,Algeria,1985-01-09,ALG-MOHACEDR-19850109
Faouzi Ghoulam,Algeria,1991-02-01,ALG-GHOUFAOU-19910201
Essaid Belkalem,Algeria,1989-01-01,ALG-BELKESSA-19890101
Hassan Yebda,Algeria,1984-05-14,ALG-YEBDHASS-19840514
Nabil Ghilas,Algeria,1990-04-20,ALG-GHILNABI-19900420
Sofiane Feghouli,Algeria,1989-12-26,ALG-FEGHSOFI-19891226
Mahmoud Guendouz,Algeria,1953-02-24,ALG-GUENMAHM-19530224
Yacine Brahimi,Algeria,1990-02-08,ALG-BRAHYACI-19900208
Mehdi Cerbah,Algeria,1953-04-03,ALG-CERBMEHD-19530403
Hocine Yahi,Algeria,1960-04-25,ALG-YAHIHOCI-19600425
Liassine Cadamuro-Bentaiba,Algeria,1988-03-05,ALG-CADALIAS-19880305
Abdelmoumene Djabou,Algeria,1987-01-31,ALG-DJABABDE-19870131
Saphir Taider,Algeria,1992-02-29,ALG-TAIDSAPH-19920229
Aissa Mandi,Algeria,1991-10-22,ALG-MANDAISS-19911022
Antar Yahia,Algeria,1982-03-21,ALG-YAHIANTA-19820321
Hillal Soudani,Algeria,1987-11-25,ALG-SOUDHILL-19871125
Riyad Mahrez,Algeria,1991-02-21,ALG-MAHRRIYA-19910221
Mehdi Mostefa,Algeria,1983-08-30,ALG-MOSTMEHD-19830830
Rais M'Bolhi,Algeria,1986-04-25,ALG-M'BORAIS-19860425
Djamel Abdoun,Algeria,1986-02-14,ALG-ABDODJAM-19860214
Foued Kadir,Algeria,1983-12-05,ALG-KADIFOUE-19831205
Djamel Mesbah,Algeria,1984-10-09,ALG-MESBDJAM-19841009
Hassan Yebda,Algeria,1984-04-14,ALG-YEBDHASS-19840414
Mohamed Lamine Zemmamouche,Algeria,1985-03-19,ALG-ZEMMMOHA-19850319
Nabil Bentaleb,Algeria,1994-11-24,ALG-BENTNABI-19941124
Islam Slimani,Algeria,1988-06-18,ALG-SLIMISLA-19880618
Salah Larbes,Algeria,1952-09-16,ALG-LARBSALA-19520916
Mehdi Lacen,Algeria,1984-05-15,ALG-LACEMEHD-19840515
Djamel Zidane,Algeria,1955-04-28,ALG-ZIDADJAM-19550428
Rachid Harkouk,Algeria,1956-05-16,ALG-HARKRACH-19560516
Faouzi Mansouri,Algeria,1956-01-17,ALG-MANSFAOU-19560117
Karim Maroc,Algeria,1958-03-05,ALG-MAROKARI-19580305
Rafik Halliche,Algeria,1986-09-02,ALG-HALLRAFI-19860902
Djamel Tlemcani,Algeria,1955-04-16,ALG-TLEMDJAM-19550416
Abdelmajid Bourebbou,Algeria,1951-03-16,ALG-BOURABDE-19510316
Mourad Amara,Algeria,1959-02-19,ALG-AMARMOUR-19590219
Mustapha Dahleb,Algeria,1952-02-08,ALG-DAHLMUST-19520208
Yacine Bentalaa,Algeria,1955-09-24,ALG-BENTYACI-19550924
Madjid Bougherra,Algeria,1982-10-07,ALG-BOUGMADJ-19821007
Larbi El Hadi,Algeria,1961-05-27,ALG-HADILARB-19610527
Fodil Megharia,Algeria,1961-05-23,ALG-MEGHFODI-19610523
Mohamed Chaib,Algeria,1957-05-20,ALG-CHAIMOHA-19570520
Halim Benmabrouk,Algeria,1960-06-25,ALG-BENMHALI-19600625
Fawzi Benkhalidi,Algeria,1963-02-03,ALG-BENKFAWZ-19630203
Abdelhamid Sadmi,Algeria,1961-01-01,ALG-SADMABDE-19610101
Lounes Gaouaoui,Algeria,1977-09-28,ALG-GAOULOUN-19770928
Djamel Menad,Algeria,1960-07-22,ALG-MENADJAM-19600722
Abdelkader Horr,Algeria,1953-11-10,ALG-HORRABDE-19531110
Yazid Mansouri,Algeria,1978-02-25,ALG-MANSYAZI-19780225
Mohamed Kaci-Said,Algeria,1958-05-02,ALG-KACIMOHA-19580502
Fathi Chebel,Algeria,1956-08-19,ALG-CHEBFATH-19560819
Nacerdine Drid,Algeria,1957-01-22,ALG-DRIDNACE-19570122
Abdellah Medjadi Liegeon,Algeria,1957-12-01,ALG-LIEGABDE-19571201
Carl Medjani,Algeria,1985-05-15,ALG-MEDJCARL-19850515
Adlene Guedioura,Algeria,1985-11-12,ALG-GUEDADLE-19851112
Karim Ziani,Algeria,1982-08-17,ALG-ZIANKARI-19820817
Faouzi Chaouchi,Algeria,1984-12-05,ALG-CHAOFAOU-19841205
Karim Matmour,Algeria,1985-06-25,ALG-MATMKARI-19850625
Habib Bellaid,Algeria,1986-03-28,ALG-BELLHABI-19860328
Rafik Djebbour,Algeria,1984-03-08,ALG-DJEBRAFI-19840308
Rafik Saifi,Algeria,1975-02-07,ALG-SAIFRAFI-19750207
Abdelkader Ghezzal,Algeria,1984-12-05,ALG-GHEZABDE-19841205
Mehdi Lacen,Algeria,1984-01-05,ALG-LACEMEHD-19840105
Ryad Boudebouz,Algeria,1990-02-19,ALG-BOUDRYAD-19900219
Abdelkader Laifaoui,Algeria,1981-07-29,ALG-LAIFABDE-19810729
Mantorras,Angola,1982-03-18,ANG-MANT-19820318
Mateus,Angola,1984-06-19,ANG-MATE-19840619
Akwa,Angola,1977-05-30,ANG-AKWA-19770530
Marco Airosa,Angola,1984-08-06,ANG-AIROMARC-19840806
Lama,Angola,1981-02-01,ANG-LAMA-19810201
Paulo Figueiredo,Angola,1972-11-28,ANG-FIGUPAUL-19721128
Flavio,Angola,1979-12-20,ANG-FLAV-19791220
Joao Ricardo,Angola,1970-01-07,ANG-RICAJOAO-19700107
Delgado,Angola,1979-11-01,ANG-DELG-19791101
Miloy,Angola,1981-05-27,ANG-MILO-19810527
Edson Nobre,Angola,1980-02-03,ANG-NOBREDSO-19800203
Rui Marques,Angola,1977-09-03,ANG-MARQRUI-19770903
Mendonca,Angola,1982-10-09,ANG-MEND-19821009
Mario Hipolito,Angola,1985-06-01,ANG-HIPOMARI-19850601
Loco,Angola,1984-12-25,ANG-LOCO-19841225
Jamba,Angola,1977-07-10,ANG-JAMB-19770710
Ze Kalanga,Angola,1983-10-12,ANG-KALAZE-19831012
Lebo Lebo,Angola,1977-05-29,ANG-LEBOLEBO-19770529
Love,Angola,1979-03-14,ANG-LOVE-19790314
Kali,Angola,1978-10-11,ANG-KALI-19781011
Marco Abreu,Angola,1974-12-08,ANG-ABREMARC-19741208
Andre Macanga,Angola,1978-05-14,ANG-MACAANDR-19780514
Titi Buengo,Angola,1980-02-11,ANG-BUENTITI-19800211
Hugo Perez,Argentina,1968-10-06,ARG-PEREHUGO-19681006
Fernando Caceres,Argentina,1969-02-07,ARG-CACEFERN-19690207
Diego Simeone,Argentina,1970-04-28,ARG-SIMEDIEG-19700428
Jorge Borelli,Argentina,1964-11-02,ARG-BOREJORG-19641102
Hernan Diaz,Argentina,1965-02-26,ARG-DIAZHERN-19650226
Ariel Ortega,Argentina,1974-03-04,ARG-ORTEARIE-19740304
Leonardo Rodriguez,Argentina,1966-08-27,ARG-RODRLEON-19660827
Lautaro Martinez,Argentina,1997-08-22,ARG-MARTLAUT-19970822
German Pezzella,Argentina,1991-06-27,ARG-PEZZGERM-19910627
Gonzalo Montiel,Argentina,1997-01-01,ARG-MONTGONZ-19970101
Ricardo Villa,Argentina,1952-08-18,ARG-VILLRICA-19520818
Edgardo Bauza,Argentina,1958-01-26,ARG-BAUZEDGA-19580126
Cristian Romero,Argentina,1998-04-27,ARG-ROMECRIS-19980427
Jose Serrizuela,Argentina,1962-06-16,ARG-SERRJOSE-19620616
Roberto Sensini,Argentina,1966-10-12,ARG-SENSROBE-19661012
Alejandro Mancuso,Argentina,1968-09-04,ARG-MANCALEJ-19680904
Exequiel Palacios,Argentina,1998-10-05,ARG-PALAEXEQ-19981005
Sergio Vazquez,Argentina,1965-11-23,ARG-VAZQSERG-19651123
Thiago Almada,Argentina,2001-04-26,ARG-ALMATHIA-20010426
Emiliano Martinez,Argentina,1992-09-02,ARG-MARTEMIL-19920902
Enzo Fernandez,Argentina,2001-01-17,ARG-FERNENZO-20010117
Lisandro Martinez,Argentina,1998-01-18,ARG-MARTLISA-19980118
Nahuel Molina,Argentina,1998-04-06,ARG-MOLINAHU-19980406
Julian Alvarez,Argentina,2000-01-31,ARG-ALVAJULI-20000131
Rodrigo de Paul,Argentina,1994-05-24,ARG-PAULRODR-19940524
Enzo Trossero,Argentina,1953-05-23,ARG-TROSENZO-19530523
Jorge Valdano,Argentina,1955-10-04,ARG-VALDJORG-19551004
Jose Van Tuyne,Argentina,1954-12-13,ARG-TUYNJOSE-19541213
Norberto Scoponi,Argentina,1961-01-13,ARG-SCOPNORB-19610113
Fernando Redondo,Argentina,1969-06-06,ARG-REDOFERN-19690606
Jose Chamot,Argentina,1969-05-17,ARG-CHAMJOSE-19690517
Pedro Monzon,Argentina,1962-02-23,ARG-MONZPEDR-19620223
Luis Izzeta,Argentina,,ARG-IZZELUIS-nan
Papu Gomez,Argentina,1988-02-15,ARG-GOMEPAPU-19880215
Angel Correa,Argentina,1995-03-09,ARG-CORRANGE-19950309
Nestor Lorenzo,Argentina,1966-02-28,ARG-LORENEST-19660228
Abel Balbo,Argentina,1966-06-01,ARG-BALBABEL-19660601
Nestor Fabbri,Argentina,1968-04-29,ARG-FABBNEST-19680429
Jorge Burruchaga,Argentina,1962-10-09,ARG-BURRJORG-19621009
Nestor Clausen,Argentina,1962-09-29,ARG-CLAUNEST-19620929
Jose Luis Cuciuffo,Argentina,1961-02-01,ARG-CUCIJOSE-19610201
Hector Enrique,Argentina,1962-04-26,ARG-ENRIHECT-19620426
Oscar Garre,Argentina,1956-12-09,ARG-GARROSCA-19561209
Ricardo Giusti,Argentina,1956-12-11,ARG-GIUSRICA-19561211
Luis Islas,Argentina,1965-12-22,ARG-ISLALUIS-19651222
Pedro Pasculli,Argentina,1960-05-17,ARG-PASCPEDR-19600517
Oscar Ruggeri,Argentina,1962-01-26,ARG-RUGGOSCA-19620126
Carlos Tapia,Argentina,1962-08-20,ARG-TAPICARL-19620820
Marcelo Trobbiani,Argentina,1955-02-17,ARG-TROBMARC-19550217
Hector Zelada,Argentina,1957-04-30,ARG-ZELAHECT-19570430
Roberto Iraneta,Argentina,1915-03-21,ARG-IRANROBE-19150321
Jose Maria Basanta,Argentina,1984-04-03,ARG-BASAJOSE-19840403
Arcadio Lopez,Argentina,1910-09-15,ARG-LOPEARCA-19100915
Jose Luis Brown,Argentina,1956-11-10,ARG-BROWJOSE-19561110
Sergio Goycochea,Argentina,1963-10-17,ARG-GOYCSERG-19631017
Claudio Borghi,Argentina,1964-09-28,ARG-BORGCLAU-19640928
Sergio Batista,Argentina,1962-11-09,ARG-BATISERG-19621109
Gustavo Dezotti,Argentina,1964-02-14,ARG-DEZOGUST-19640214
Jose Basualdo,Argentina,1963-06-20,ARG-BASUJOSE-19630620
Juan Foyth,Argentina,1998-01-12,ARG-FOYTJUAN-19980112
Gabriel Batistuta,Argentina,1969-02-01,ARG-BATIGABR-19690201
Adolfo Zumelzu,Argentina,1902-01-05,ARG-ZUMEADOL-19020105
Francisco Varallo,Argentina,1910-02-05,ARG-VARAFRAN-19100205
Arico Suarez,Argentina,1908-06-05,ARG-SUARARIC-19080605
Guillermo Stabile,Argentina,1905-01-17,ARG-STABGUIL-19050117
Carlos Spadaro,Argentina,1902-02-05,ARG-SPADCARL-19020205
Alejandro Scopelli,Argentina,1908-05-12,ARG-SCOPALEJ-19080512
Juan Simon,Argentina,1960-03-02,ARG-SIMOJUAN-19600302
Pedro Troglio,Argentina,1965-07-28,ARG-TROGPEDR-19650728
Fabian Cancelarich,Argentina,1965-12-20,ARG-CANCFABI-19651220
Angel Comizzo,Argentina,1962-04-27,ARG-COMIANGE-19620427
Sergio Almiron,Argentina,1958-11-18,ARG-ALMISERG-19581118
Ricardo Bochini,Argentina,1954-01-25,ARG-BOCHRICA-19540125
Alexis Mac Allister,Argentina,1998-12-24,ARG-ALLIALEX-19981224
Enrique Wolff,Argentina,1949-02-21,ARG-WOLFENRI-19490221
Geronimo Rulli,Argentina,1992-05-20,ARG-RULLGERO-19920520
Daniel Bertoni,Argentina,1955-03-14,ARG-BERTDANI-19550314
Hector Baley,Argentina,1950-11-16,ARG-BALEHECT-19501116
Osvaldo Ardiles,Argentina,1952-08-03,ARG-ARDIOSVA-19520803
Norberto Alonso,Argentina,1953-01-04,ARG-ALONNORB-19530104
Hector Yazalde,Argentina,1946-05-29,ARG-YAZAHECT-19460529
Miguel Angel Santoro,Argentina,1942-02-27,ARG-SANTMIGU-19420227
Nelson Lopez,Argentina,1941-06-24,ARG-LOPENELS-19410624
Nestor Togneri,Argentina,1942-11-27,ARG-TOGNNEST-19421127
Roberto Telch,Argentina,1943-11-06,ARG-TELCROBE-19431106
Carlos Squeo,Argentina,1948-06-04,ARG-SQUECARL-19480604
Francisco Sa,Argentina,1945-10-25,ARG-SAFRAN-19451025
Ernesto Albarracin,Argentina,1907-09-25,ARG-ALBAERNE-19070925
Ramon Astudillo,Argentina,,ARG-ASTURAMO-nan
Ernesto Belis,Argentina,1909-02-01,ARG-BELIERNE-19090201
Enrique Chimento,Argentina,,ARG-CHIMENRI-nan
Juan Evaristo,Argentina,1902-06-20,ARG-EVARJUAN-19020620
Alfredo Devincenzi,Argentina,1911-01-24,ARG-DEVIALFR-19110124
Mario Evaristo,Argentina,1908-12-10,ARG-EVARMARI-19081210
Luis Monti,Argentina,1901-05-15,ARG-MONTLUIS-19010515
Paulo Dybala,Argentina,1993-11-15,ARG-DYBAPAUL-19931115
Rodolfo Orlandini,Argentina,1905-01-01,ARG-ORLARODO-19050101
Ramon Muttis,Argentina,1899-03-12,ARG-MUTTRAMO-18990312
Edmundo Piaggio,Argentina,1905-10-03,ARG-PIAGEDMU-19051003
Fernando Paternoster,Argentina,1903-05-24,ARG-PATEFERN-19030524
Natalio Perinetti,Argentina,1900-12-28,ARG-PERINATA-19001228
Carlos Peucelle,Argentina,1908-09-13,ARG-PEUCCARL-19080913
Manuel Ferreira,Argentina,1905-10-22,ARG-FERRMANU-19051022
Cristian Pavon,Argentina,1996-01-21,ARG-PAVOCRIS-19960121
Willy Caballero,Argentina,1981-09-28,ARG-CABAWILL-19810928
Leopoldo Luque,Argentina,1949-05-03,ARG-LUQULEOP-19490503
Jorge Olguin,Argentina,1952-05-17,ARG-OLGUJORG-19520517
Oscar Ortiz,Argentina,1953-04-08,ARG-ORTIOSCA-19530408
Miguel Oviedo,Argentina,1950-10-12,ARG-OVIEMIGU-19501012
Ruben Pagnanini,Argentina,1949-01-31,ARG-PAGNRUBE-19490131
Eduardo Salvio,Argentina,1990-07-13,ARG-SALVEDUA-19900713
Leandro Paredes,Argentina,1994-06-29,ARG-PARELEAN-19940629
Hector Freschi,Argentina,1911-05-22,ARG-FRESHECT-19110522
Angel Grippa,Argentina,1914-03-02,ARG-GRIPANGE-19140302
Nahuel Guzman,Argentina,1986-02-10,ARG-GUZMNAHU-19860210
Ricardo La Volpe,Argentina,1952-02-06,ARG-VOLPRICA-19520206
Omar Larrosa,Argentina,1947-11-18,ARG-LARROMAR-19471118
Daniel Passarella,Argentina,1953-05-25,ARG-PASSDANI-19530525
Ramon Medina Bello,Argentina,1966-04-29,ARG-BELLRAMO-19660429
Jose Daniel Valencia,Argentina,1955-10-03,ARG-VALEJOSE-19551003
Guido Rodriguez,Argentina,1994-04-12,ARG-RODRGUID-19940412
Santiago Santamaria,Argentina,1952-08-22,ARG-SANTSANT-19520822
Nery Pumpido,Argentina,1957-07-30,ARG-PUMPNERY-19570730
Julio Olarticoechea,Argentina,1958-10-18,ARG-OLARJULI-19581018
Patricio Hernandez,Argentina,1956-08-16,ARG-HERNPATR-19560816
Diego Maradona,Argentina,1960-10-30,ARG-MARADIEG-19601030
Ramon Diaz,Argentina,1959-08-29,ARG-DIAZRAMO-19590829
Gabriel Calderon,Argentina,1960-02-07,ARG-CALDGABR-19600207
Juan Barbas,Argentina,1959-08-23,ARG-BARBJUAN-19590823
Gabriel Mercado,Argentina,1987-03-18,ARG-MERCGABR-19870318
Alberto Galateo,Argentina,1912-03-04,ARG-GALAALBE-19120304
Nicolas Tagliafico,Argentina,1992-08-31,ARG-TAGLNICO-19920831
Federico Fazio,Argentina,1987-03-17,ARG-FAZIFEDE-19870317
